V,D,EPR,perturbation_ratio,traffic,Phi_per_EP,min,max,std
13,4,2,0.0,uniform,10.0,10.0,10.0,0.0
13,4,2,0.01,uniform,9.950725073419326,9.936465563383162,9.966922569296656,0.008174823590298787
13,4,2,0.02,uniform,9.909056684485517,9.87960394032455,9.930155015038055,0.015007680950078272
13,4,2,0.03,uniform,9.866927456991345,9.806726676907974,9.9081952102426,0.028444194750813768
13,4,2,0.04,uniform,9.816596944683992,9.766802732161754,9.841630309324497,0.021297906204451465
13,4,2,0.05,uniform,9.762379433717289,9.715515333757494,9.817807259990552,0.032453000544078396
13,4,2,0.060000000000000005,uniform,9.738713832384327,9.598613466429535,9.813347126470301,0.06300574063407809
13,4,2,0.06999999999999999,uniform,9.693604887469846,9.542443722096166,9.80948545941768,0.0759556285006116
13,4,2,0.08,uniform,9.642295224770558,9.490863743431408,9.714510447687216,0.06783027439428754
13,4,2,0.09,uniform,9.639969337868193,9.569859508936478,9.708411376705952,0.04080522236479848
13,4,2,0.09999999999999999,uniform,9.555503346549902,9.429834058571437,9.758412879617227,0.09822225638936685
13,4,2,0.11,uniform,9.52903368370893,9.380734738848519,9.62816518192857,0.0799723602692031
13,4,2,0.12,uniform,9.484444547948971,9.183974835441227,9.639036860647554,0.1321948564774921
13,4,2,0.13,uniform,9.396268773501557,9.211128387041738,9.522861781029208,0.10468463733869304
13,4,2,0.14,uniform,9.427707402413,9.224313625438201,9.551622232181234,0.08836436605126032
13,4,2,0.15000000000000002,uniform,9.316403541061778,9.003360297668515,9.468837370860415,0.12986228385381637
13,4,2,0.16,uniform,9.329567276735782,9.100408133222272,9.514581522986614,0.1189685369964965
13,4,2,0.17,uniform,9.302398906777231,9.056469373063845,9.455931949809921,0.11205040469952157
13,4,2,0.18000000000000002,uniform,9.235579827299286,8.80184650616258,9.51142483843475,0.19436593266287938
13,4,2,0.19,uniform,9.224505881223246,9.0679642531593,9.403611265608005,0.10588017653811041
13,4,2,0.2,uniform,9.145918865596311,8.860721120154935,9.383403452214868,0.18494635041981317
13,4,2,0.21000000000000002,uniform,9.120141898577655,8.867625068254615,9.265781023080454,0.11308018906932606
13,4,2,0.22,uniform,9.1294430320784,8.97745591741747,9.329539979720135,0.11749880068273914
13,4,2,0.23,uniform,9.049363714240132,8.80345893119214,9.219245892750202,0.1288709081334468
13,4,2,0.24000000000000002,uniform,9.122102639461563,8.95091184606148,9.365045919089583,0.12460353858580066
13,4,2,0.25,uniform,8.921776998726898,8.742247666296457,9.155398969065622,0.15017694877231305
13,4,2,0.26,uniform,8.992893500089242,8.676899654247787,9.30423921410969,0.19783642695748313
13,4,2,0.27,uniform,8.931744342464587,8.613841159017388,9.137675267510243,0.18812240137253422
13,4,2,0.28,uniform,8.940864131801053,8.690203850102835,9.086005946981139,0.10256897350132521
13,4,2,0.29000000000000004,uniform,8.812471716804462,8.443184518805683,9.057880528299817,0.16067777951132195
13,4,2,0.3,uniform,8.822406663919606,8.09795079387864,9.116472096604413,0.28402344659170337
13,4,2,0.31,uniform,8.772428679170595,8.284113009862885,8.975554064359695,0.1993305525827707
13,4,2,0.32,uniform,8.618896380005227,8.248075037889821,8.861314605358707,0.19794430731386103
13,4,2,0.33,uniform,8.867424612679475,8.576433390832403,9.14280628536755,0.18927821978677575
13,4,2,0.34,uniform,8.718258463472148,8.457011374344063,9.108770322426913,0.20083083163228221
13,4,2,0.35000000000000003,uniform,8.66129433532326,8.354460107502124,9.061637183902903,0.22796021579696882
13,4,2,0.36000000000000004,uniform,8.693381386486063,8.501989902236923,8.850802801560501,0.08218266153486989
13,4,2,0.37,uniform,8.567368384519757,7.982612539334455,8.863281083125026,0.2269101619851098
13,4,2,0.38,uniform,8.505002854930764,7.629320477082611,8.859571799292283,0.3843864418815714
13,4,2,0.39,uniform,8.608081488381035,8.299041452544966,9.087452352154267,0.23024615143144408
13,4,2,0.4,uniform,8.588267277163496,8.355314108865162,8.743220328100286,0.12085417091078203
13,4,2,0.41000000000000003,uniform,8.485714881798073,8.134236717754694,8.617949281496925,0.15004227078580812
13,4,2,0.42000000000000004,uniform,8.47899075596948,8.122903012545802,8.87741842901735,0.26220691666769597
13,4,2,0.43,uniform,8.395241301971069,7.76736809930914,8.81734251985824,0.3106751694300208
13,4,2,0.44,uniform,8.528327872174076,8.22791855548751,8.657110861741986,0.12452824865438417
13,4,2,0.45,uniform,8.347559759419587,7.956565014776983,8.849876446846945,0.26168653394773134
13,4,2,0.46,uniform,8.264993886118216,7.740222415438883,8.725137092207529,0.274136982168179
13,4,2,0.47000000000000003,uniform,8.342997133746284,8.112787719384395,8.665543742728206,0.18022406802612434
13,4,2,0.48000000000000004,uniform,8.11510390250559,7.744993918412184,8.331261909214174,0.18978338288792912
13,4,2,0.49,uniform,8.251569034028243,8.029105405447726,8.55947311566273,0.18553749947941078
13,4,2,0.0,nearst-neighbour,9.615384615384615,9.615384615384615,9.615384615384615,0.0
13,4,2,0.01,nearst-neighbour,9.459125755578714,9.391900766937257,9.506389636908182,0.03401414627903717
13,4,2,0.02,nearst-neighbour,9.358806866962482,9.317177161039217,9.428501807383652,0.03721424522221782
13,4,2,0.03,nearst-neighbour,9.178731951152042,9.034610788891175,9.279958847220241,0.07291242045560552
13,4,2,0.04,nearst-neighbour,9.032837182209606,8.664969366976731,9.278469009968976,0.17969083072180556
13,4,2,0.05,nearst-neighbour,8.911704851484851,8.550372344464098,9.086526541003424,0.15375711492981686
13,4,2,0.060000000000000005,nearst-neighbour,8.797721491783108,8.563629194834395,9.023385849054806,0.14541979587282233
13,4,2,0.06999999999999999,nearst-neighbour,8.616723066014288,8.211427688395858,8.99463051866316,0.21298965295963665
13,4,2,0.08,nearst-neighbour,8.5736644441094,8.378842416341513,8.77216698402846,0.1170789872618257
13,4,2,0.09,nearst-neighbour,8.53572034369173,8.132005652778881,8.783326126411412,0.1994726985472103
13,4,2,0.09999999999999999,nearst-neighbour,8.42171076699901,7.894133944749893,8.742194058776242,0.23700967468271567
13,4,2,0.11,nearst-neighbour,8.206476196133893,7.702716864161337,8.466023741627815,0.2378445144004984
13,4,2,0.12,nearst-neighbour,8.222013889512647,7.703824455671145,8.619125591691876,0.26348033837031193
13,4,2,0.13,nearst-neighbour,7.973854538629089,7.413064459962116,8.533062322202856,0.2875827937980964
13,4,2,0.14,nearst-neighbour,7.8993264932945575,7.534497596734571,8.299772668667119,0.21268411960470557
13,4,2,0.15000000000000002,nearst-neighbour,7.997821697036002,7.739287363704379,8.228657553512397,0.1564543072213349
13,4,2,0.16,nearst-neighbour,7.7909234961540434,7.266185827623298,8.413223067407063,0.3485023183620601
13,4,2,0.17,nearst-neighbour,7.671086737429114,6.8498799670058395,7.992721470112206,0.3230827101505381
13,4,2,0.18000000000000002,nearst-neighbour,7.591107737310139,7.060595402194592,8.041738877967093,0.2671839877489781
13,4,2,0.19,nearst-neighbour,7.4994569321784486,7.007810191257259,7.91748046865967,0.2982584398444996
13,4,2,0.2,nearst-neighbour,7.187320722798077,6.690818465340101,7.785905784665205,0.37520495748593924
13,4,2,0.21000000000000002,nearst-neighbour,7.480933035194506,7.063102563462538,8.002121636698668,0.28231560687434687
13,4,2,0.22,nearst-neighbour,7.26069975968997,6.546263525468883,7.62356247197782,0.30752212705746795
13,4,2,0.23,nearst-neighbour,6.918612019409433,5.739913470639651,7.56437948963018,0.4691881218074653
13,4,2,0.24000000000000002,nearst-neighbour,7.155687560276893,6.3152115125854875,7.842480853820798,0.4525064917496837
13,4,2,0.25,nearst-neighbour,6.997475029484233,6.187900562519522,7.612638053753703,0.4280218857532179
13,4,2,0.26,nearst-neighbour,6.641070685578083,5.352469429772021,7.632157758862784,0.6307470219295935
13,4,2,0.27,nearst-neighbour,6.928483350973664,6.079437025827643,7.321247446172507,0.34410264946554725
13,4,2,0.28,nearst-neighbour,6.801678028409685,6.221588995659344,7.464284460022531,0.40146187077260925
13,4,2,0.29000000000000004,nearst-neighbour,6.4849492375107065,5.460893908340879,7.03678112468312,0.5104170311536286
13,4,2,0.3,nearst-neighbour,6.714812177640783,6.209675569655299,7.568901172638085,0.473015070212749
13,4,2,0.31,nearst-neighbour,6.408003579419448,5.5198678574897535,7.328690619464786,0.5018488162686111
13,4,2,0.32,nearst-neighbour,6.554617485877328,5.807924022743678,7.2540808177167015,0.4963596354858788
13,4,2,0.33,nearst-neighbour,6.345193002114831,5.486689979161186,6.94767369744399,0.3932075928661872
13,4,2,0.34,nearst-neighbour,6.356547226010631,5.772365145638582,6.973299327174375,0.3984683514414718
13,4,2,0.35000000000000003,nearst-neighbour,6.545544490975662,5.801824712269409,7.179425948666468,0.4218604710507184
13,4,2,0.36000000000000004,nearst-neighbour,6.27403881735939,5.477196467665086,7.111092562534699,0.4786346781046322
13,4,2,0.37,nearst-neighbour,6.0333756723618475,5.255950355980739,6.7003272278355075,0.4720767044689909
13,4,2,0.38,nearst-neighbour,6.035218554301371,5.527017764088195,6.901964747826469,0.3919186398730928
13,4,2,0.39,nearst-neighbour,5.864169040830542,5.283094837852584,6.933687275136,0.5019289688781029
13,4,2,0.4,nearst-neighbour,6.137889310826374,5.136065400790333,6.773141641146383,0.46190659642940796
13,4,2,0.41000000000000003,nearst-neighbour,5.814656689936337,5.198866202717903,6.3881676285275155,0.37872487259321147
13,4,2,0.42000000000000004,nearst-neighbour,5.826506783968483,5.534061474217018,6.138748567140727,0.19880011063410918
13,4,2,0.43,nearst-neighbour,6.005095281230184,5.256216663399101,6.8890983697638095,0.5543078133188291
13,4,2,0.44,nearst-neighbour,6.04100082658308,5.2530255868148465,7.1267896715200525,0.5585659828257795
13,4,2,0.45,nearst-neighbour,5.615428064975676,4.9251573299598155,6.462457366225068,0.47497459820200927
13,4,2,0.46,nearst-neighbour,5.852239956584375,4.735739613965543,6.628458993148586,0.6233989706890484
